"Графический планшет XP-Pen Star G430S, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 4""х3"", Чёрный"/4803 Сом/"/images/stories/virtuemart/product/1_3541_7900.jpg"
"Графический планшет Huion H420, Разрешение 4000 lpi, Чувствительность к нажатию 2048, Интерфейс USB, Рабочая область 106*64,6 мм. (4,17""х2,23""), Чёрный"/5820 Сом/"/images/stories/virtuemart/product/1_1821_1315.jpg"
"Графический планшет XP-Pen Deco Fun S BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 6.3""х4"", Чёрный"/6332 Сом/"/images/stories/virtuemart/product/1_2085_8625.jpg"
"Цифровой графический планшет WACOM One by Small CTL472N, A6, USB, 2048 Pressure Levels, Black/Red+Wacom Pen 2K (LP-190K)"/7020 Сом/"/images/stories/virtuemart/product/1_8493_8870.jpg"
"Графический планшет XP-Pen Star G640S, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 6""х3,75"", Чёрный"/7377 Сом/"/images/stories/virtuemart/product/1_6871.jpg"
"Графический планшет XP-Pen Deco Fun L BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6.27"", Чёрный"/8366 Сом/"/images/yandex.png"
"Графический планшет Huion H950P, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 221*138 мм. (8,7""х5,4""), Чёрный"/8750 Сом/"/images/stories/virtuemart/product/29075_1_8533.jpg"
"Графический планшет Huion HS64, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 160 x 102 мм. (6.3""х 4""), Чёрный"/8956 Сом/"/images/stories/virtuemart/product/1_4421_2877.jpg"
"Цифровой графический планшет WACOM One by Medium CTL672N, A5, USB, 2048 Pressure Levels, Black/Red+Wacom Pen 2K (LP-190K)"/9720 Сом/"/images/stories/virtuemart/product/1_3488_1055.jpg"
"Графический планшет Huion H1060P, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 254x158.8 мм. (11""х 6.875""), Чёрный"/11286 Сом/"/images/yandex.png"
Цифровой графический планшет Wacom Intuos Small CTL4100WLK0, A6, USB, Bluetooth, 4096 Pressure Levels, Black+Wacom Pen 4K LP-1100K/11682 Сом/"/images/stories/virtuemart/product/1_4521.jpg"
